incidentid,age,gender,race,criminalhistory
19921120ILTIC,Adolescent,Male,unknown,unknown
19921124ALROM,Young Adult,unknown,unknown,unknown
19921130ILORC,Adolescent,Male,unknown,unknown
19921203ILWOC,Young Adult,Male,unknown,unknown
19921203ILWOC,Adult,Male,unknown,unknown
19921214NYWAW,Adolescent,Male,unknown,unknown
19930105NYBRB,Teen,Male,unknown,unknown
19930105NYBRB,Teen,Male,unknown,unknown
19930112FLNOM,Teen,Male,unknown,unknown
19930118KYEAG,Adolescent,Male,White,unknown
19930121CAFAL,Teen,Male,unknown,unknown
19930201NYAMA,Adolescent,Male,unknown,unknown
19930201WARER,Adolescent,Male,unknown,unknown
19930204GACLA,Adolescent,Male,unknown,unknown
19930208DCWAW,unknown,Male,unknown,unknown
19930208MNMIM,Adolescent,Male,unknown,unknown
19930222CAREL,Adolescent,Male,Black,unknown
19930226MAGLG,Adolescent,Male,unknown,unknown
19930308VADOD,Adult,Male,Black,unknown
19930318GAHAH,Adolescent,Male,unknown,unknown
19930325MOSUS,Adolescent,Female,unknown,unknown
19930403CAGRS,unknown,Male,unknown,unknown
19930415MAFOA,Adult,Male,White,unknown
19930416CAGRS,unknown,unknown,unknown,unknown
19930416WAMOT,Adult,Female,unknown,unknown
19930514TXNII,Adolescent,Male,Hispanic,unknown
19930524PAUPP,Adolescent,Male,White,unknown
19930527LAFRN,Adolescent,Male,Black,unknown
19930707CADOL,Teen,Male,unknown,unknown
19930803NYTHN,unknown,Male,unknown,unknown
19930831GAHAA,Adolescent,Male,Black,unknown
19930901KSJUJ,Adolescent,Male,unknown,unknown
19930902TXROD,Adolescent,Male,unknown,unknown
19930916ILROC,unknown,Male,unknown,unknown
19930917ILDOD,Adolescent,Male,White,unknown
19930917WYCES,Adult,Male,White,unknown
19930925DCWEW,Young Adult,Male,unknown,unknown
19930925DCWEW,Adolescent,Male,unknown,unknown
19930928MSCOG,Adolescent,Male,unknown,unknown
19931012DEDON,Adolescent,Female,unknown,unknown
19931018DCJHW,Adolescent,Male,unknown,unknown
19931101ILSUC,Adolescent,Male,unknown,unknown
19931104CTNEN,Young Adult,Male,Hispanic,unknown
